time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
1.024992,-0.006097,0.028408
1.029992,-0.011275,0.027724
1.034992,-0.010957,0.028408
1.039993,0.001289,0.027724
1.044993,-0.000071,0.028408
1.049993,0.005137,0.027724
1.054993,0.007194,0.028408
1.059994,0.019277,0.027724
1.064994,0.020917,0.028408
1.069994,0.019655,0.027724
1.074994,0.021195,0.028408
1.079994,0.025958,0.027724
1.084995,0.028715,0.028408
1.089995,0.021690,0.027724
1.094995,0.018470,0.028408
1.099995,0.024734,0.027724
1.104996,0.026181,0.028408
1.109996,0.021453,0.027724
1.114996,0.020625,0.028408
1.119996,0.019099,0.027724
1.124997,0.020776,0.028408
1.129997,0.023815,0.027724
1.134997,0.024132,0.028408
1.139997,0.034676,0.027724
1.144997,0.039155,0.028408
1.149998,0.044382,0.027724
1.154998,0.046657,0.028408
1.159998,0.043594,0.027724
1.164998,0.043443,0.028408
1.169999,0.027859,0.027724
1.174999,0.028457,0.028408
1.179999,0.024725,0.027724
1.184999,0.024422,0.028408
1.190000,0.025982,0.027724
1.195000,0.025823,0.028408
1.200000,0.012956,0.027724
1.205000,0.011476,0.028408
1.210001,0.001753,0.027724
1.215001,-0.000363,0.028408
1.220001,0.007552,0.027724
1.225001,0.008603,0.028408
1.230001,-0.001839,0.027724
1.235002,-0.002291,0.028408
1.240002,-0.013348,0.027724
1.245002,-0.014681,0.028408
1.250002,-0.025592,0.027724
1.255003,-0.025030,0.028408
1.260003,-0.012398,0.027724
1.265003,-0.011003,0.028408
1.270003,-0.003887,0.027724
1.275004,-0.003821,0.028408
1.280004,0.003074,0.027724
1.285004,0.000146,0.028408
1.290004,-0.010965,0.027724
1.295004,-0.009856,0.028408
1.300005,-0.015382,0.027724
1.305005,-0.016697,0.028408
1.310005,-0.016043,0.027724
1.315005,-0.017906,0.028408
1.320006,-0.018064,0.027724
1.325006,-0.020416,0.028408
1.330006,-0.010525,0.027724
1.335006,-0.009594,0.028408
1.340007,-0.012130,0.027724
1.345007,-0.014096,0.028408
1.350007,-0.006825,0.027724
1.355007,-0.004592,0.028408
1.360008,0.003426,0.027724
1.365008,0.002503,0.028408
1.370008,0.006010,0.027724
1.375008,0.008137,0.028408
1.380008,0.016900,0.027724
1.385009,0.019590,0.028408
1.390009,0.015405,0.027724
1.395009,0.015246,0.028408
1.400009,0.020290,0.027724
1.405010,0.018390,0.028408
1.410010,0.017058,0.027724
1.415010,0.015907,0.028408
1.420010,0.009178,0.027724
1.425011,0.011765,0.028408
1.430011,0.004869,0.027724
1.435011,0.004424,0.028408
1.440011,-0.003833,0.027724
1.445011,-0.002806,0.028408
1.450012,-0.003629,0.027724
1.455012,-0.000553,0.028408
1.460012,-0.008503,0.027724
1.465012,-0.008405,0.028408
1.470013,-0.012657,0.027724
1.475013,-0.015840,0.028408
1.480013,-0.012885,0.027724
1.485013,-0.013921,0.028408
1.490014,0.007086,0.027724
1.495014,0.008019,0.028408
1.500014,0.009285,0.027724
1.505014,0.010941,0.028408
1.510015,0.021305,0.027724
1.515015,0.023084,0.028408
1.520015,0.023454,0.027724
1.525015,0.023855,0.028408
1.530015,0.023159,0.027724
1.535016,0.026616,0.028408
1.540016,0.013706,0.027724
1.545016,0.014819,0.028408
1.550016,0.006103,0.027724
1.555017,0.006153,0.028408
1.560017,0.005827,0.027724
1.565017,0.007393,0.028408
1.570017,0.002894,0.027724
1.575018,0.004673,0.028408
1.580018,0.021733,0.027724
1.585018,0.022277,0.028408
1.590018,0.008147,0.027724
1.595019,0.009164,0.028408
1.600019,0.003420,0.027724
1.605019,0.001948,0.028408
1.610019,-0.003599,0.027724
1.615019,-0.002506,0.028408
1.620020,-0.004575,0.027724
1.625020,-0.004999,0.028408
1.630020,-0.007155,0.027724
1.635020,-0.008435,0.028408
1.640021,-0.006205,0.027724
1.645021,-0.006717,0.028408
1.650021,-0.017244,0.027724
1.655021,-0.018903,0.028408
1.660022,-0.017560,0.027724
1.665022,-0.017743,0.028408
1.670022,-0.005701,0.027724
1.675022,-0.009537,0.028408
1.680022,-0.000703,0.027724
1.685023,-0.000194,0.028408
1.690023,-0.005943,0.027724
1.695023,-0.004588,0.028408
1.700023,-0.003262,0.027724
1.705024,0.001139,0.028408
1.710024,-0.007267,0.027724
1.715024,-0.004926,0.028408
1.720024,-0.002717,0.027724
1.725025,-0.003700,0.028408
1.730025,-0.003831,0.027724
1.735025,-0.005713,0.028408
1.740025,-0.015477,0.027724
1.745026,-0.012730,0.028408
1.750026,-0.024917,0.027724
1.755026,-0.023517,0.028408
1.760026,-0.016247,0.027724
